date,index,start,end,type,P,dD,dD_dev,dO,dO_dev,d_excess,min_temp,max_temp,temp,precip,duration,gwt,gwt2
36,2017-01-28,36,2017-01-27 14:00:00,2017-01-29,R,0.8,-49.05,0.08,-6.98,0.06,6.79000000000001,-5.18,5.43,0.38,0.8,35,S,Meridional
37,2017-01-29,37,2017-01-29,2017-01-30,R,0.2,-46.32,0.08,-7.45,0.06,13.28,-2.33,5.48,3.45,0.4,25,SW,Mixed
38,2017-01-30,38,2017-01-30,2017-01-31,R,12,-86.44,0.06,-11.85,0.05,8.36,3.55,6.38,4.95,12,25,SW,Mixed
39,2017-01-31,39,2017-01-31,2017-01-31 15:00:00,R,0.2,-36.55,0.22,-5.2,0.08,5.05,2.55,6.25,3.465,0.2,16,SW,Mixed
40,2017-02-01,40,2017-02-01 04:00:00,2017-02-01 08:00:00,R,0.1,-53.69,0.19,-7.66,0.08,7.59,0.4,0.55,0.48,0.1,5,S,Meridional
41,2017-02-01,41,2017-02-01 08:00:00,2017-02-01 12:00:00,R,0,-51.67,0.25,-7.41,0.04,7.61,0.4,1.78,0.9,0.1,5,S,Meridional
42,2017-02-01,42,2017-02-01 12:00:00,2017-02-01 16:00:00,R,0.1,-59.79,0.18,-8.63,0.05,9.25000000000001,1.78,2.45,2.25,0.1,5,S,Meridional
43,2017-02-01,43,2017-02-01 20:00:00,2017-02-02,R,0.4,-43.45,0.08,-6.44,0.05,8.07,2.98,3.95,3.38,0.4,5,S,Meridional
44,2017-02-02,44,2017-02-02,2017-02-02 04:00:00,R,0,-41.06,0.1,-6.18,0.06,8.38,3.15,3.95,3.73,0,5,S,Meridional
45,2017-02-02,45,2017-02-02 04:00:00,2017-02-02 08:00:00,R,0.1,-39.78,0.17,-6,0.09,8.22,3.5,3.9,3.68,0.1,5,S,Meridional
46,2017-02-03,46,2017-02-03,2017-02-03 04:00:00,R,0.4,-22.06,0.12,-3.53,0.06,6.18,8.35,10.08,9.18,0.4,5,S,Meridional
47,2017-02-03,47,2017-02-03 04:00:00,2017-02-03 08:00:00,R,0.8,-36.7,0.25,-5.52,0.04,7.45999999999999,7.45,8.35,7.58,1,5,S,Meridional
48,2017-02-03,48,2017-02-03 08:00:00,2017-02-03 12:00:00,R,0.1,-48.8,0.24,-7.36,0.12,10.08,7.43,7.98,7.53,0.4,5,S,Meridional
49,2017-02-03,49,2017-02-03 12:00:00,2017-02-03 16:00:00,R,0.1,-43.8,0.15,-6.45,0.05,7.8,7.53,8.43,8.2,0.1,5,S,Meridional
50,2017-02-04,50,2017-02-03 20:00:00,2017-02-04,R,2.6,-78.7,0.17,-10.96,0.05,8.98,5.38,7.38,6.58,2.6,5,S,Meridional
51,2017-02-04,51,2017-02-04,2017-02-04 04:00:00,R,0.5,-94.74,0.21,-13.32,0.02,11.82,4.5,5.7,5.38,2.8,5,S,Meridional
52,2017-02-04,52,2017-02-04 08:00:00,2017-02-04 12:00:00,R,4.8,-113.64,0.14,-15.82,0.02,12.92,2.55,4.38,3.73,4.8,5,S,Meridional
53,2017-02-04,53,2017-02-04 12:00:00,2017-02-04 16:00:00,R,5.6,-112.44,0.09,-15.49,0.05,11.48,3.85,5.3,4.83,8.6,5,S,Meridional
54,2017-02-04,54,2017-02-04 16:00:00,2017-02-04 20:00:00,R,0.8,-103.92,0.37,-14.24,0.05,10,5.2,5.53,5.3,1.1,5,S,Meridional
55,2017-02-04,55,2017-02-04 20:00:00,2017-02-05,R,1,-110.76,0.18,-15.35,0.03,12.04,3.95,5.3,4.08,1.6,5,S,Meridional
56,2017-02-05,56,2017-02-05 08:00:00,2017-02-05 12:00:00,R,0.6,-82.56,0.3,-11.61,0.06,10.32,2.1,4.18,2.88,0.6,5,E,Meridional
57,2017-02-05,57,2017-02-05 12:00:00,2017-02-05 16:00:00,R,0.5,-88.61,0.22,-12.37,0.06,10.35,4.03,4.38,4.18,0.5,5,E,Meridional
58,2017-02-06,58,2017-02-06,2017-02-06 04:00:00,R,1.3,-113.1,0.21,-15.21,0.04,8.58000000000001,3.55,4.03,3.78,1.5,5,E,Meridional
59,2017-02-11,59,2017-02-11 08:00:00,2017-02-11 12:00:00,R,0.1,-96.42,0.28,-13.03,0.07,7.81999999999999,-0.03,1.15,0.3,0.1,5,E,Meridional
60,2017-02-11,60,2017-02-11 12:00:00,2017-02-11 16:00:00,R,1,-110.34,0.18,-15.16,0.04,10.94,1.15,2,1.8,1.1,5,E,Meridional
61,2017-02-11,61,2017-02-11 16:00:00,2017-02-11 20:00:00,R,0.4,-81.98,0.14,-12.05,0.02,14.42,0.9,2,1.45,0.5,5,E,Meridional
62,2017-02-12,62,2017-02-12,2017-02-12 04:00:00,R,0.1,-74.34,0.09,-10.99,0.06,13.58,0.6,1.03,0.78,0.1,5,E,Meridional
63,2017-02-12,63,2017-02-12 04:00:00,2017-02-12 08:00:00,R,0.2,-73.38,0.28,-11.04,0.07,14.94,0.98,2.73,2.15,0.2,5,E,Meridional
64,2017-02-12,64,2017-02-12 08:00:00,2017-02-12 12:00:00,R,0.1,-67.54,0.21,-10.14,0.03,13.58,2.73,5.45,3.85,0.1,5,E,Meridional
65,2017-02-16,65,2017-02-16 08:00:00,2017-02-16 12:00:00,R,0.2,-55.74,0.15,-8.01,0.03,8.34,-0.85,7.08,3.68,0.2,5,W,Zonal
66,2017-02-16,66,2017-02-16 12:00:00,2017-02-16 16:00:00,R,2.5,-38.06,0.09,-6.05,0.04,10.34,6.48,7.38,7.05,2.6,5,W,Zonal
67,2017-02-16,67,2017-02-16 16:00:00,2017-02-16 20:00:00,R,0.4,-36.45,0.11,-5.88,0.04,10.59,6.75,7.05,6.88,0.5,5,W,Zonal
68,2017-02-17,68,2017-02-17 12:00:00,2017-02-17 16:00:00,R,0.3,-32,0.12,-4.86,0.05,6.88,7.03,8.3,7.4,0.3,5,W,Zonal
69,2017-02-17,69,2017-02-17 16:00:00,2017-02-17 20:00:00,R,3.2,-42.5,0.27,-6.98,0.06,13.34,5.83,7.35,6.13,3.5,5,W,Zonal
70,2017-02-21,70,2017-02-21 08:00:00,2017-02-21 12:00:00,R,0.2,-22.57,0.12,-3.4,0.04,4.63,9.28,10.05,9.85,0.4,5,W,Zonal
71,2017-02-21,71,2017-02-21 12:00:00,2017-02-21 16:00:00,R,0.2,-15.17,0.11,-1,0.04,-7.17,8.85,10.08,9.3,0.2,5,W,Zonal
72,2017-02-21,72,2017-02-21 16:00:00,2017-02-21 20:00:00,R,0.2,-12,0.04,-1.55,0.05,0.4,8.8,9,8.85,0.3,5,W,Zonal
73,2017-02-21,73,2017-02-21 20:00:00,2017-02-22,R,0.6,-15.2,0.09,-2.39,0.07,3.92,9,9.4,9.15,0.6,5,W,Zonal
74,2017-02-22,74,2017-02-22,2017-02-22 04:00:00,R,1.7,-24.14,0.32,-3.93,0.02,7.3,8.88,9.4,9.25,2,5,W,Zonal
75,2017-02-22,75,2017-02-22 04:00:00,2017-02-22 08:00:00,R,2.2,-22.64,0.17,-3.85,0.05,8.16,8,8.88,8.48,2.6,5,W,Zonal
76,2017-02-23,76,2017-02-22 08:00:00,2017-02-25 16:00:00,R,1.1,-9.9,0.08,-2.27,0.07,8.26,-4.8,8.33,6.4,14.2,81,W,Zonal
77,2017-02-28,77,2017-02-28 12:00:00,2017-02-28 16:00:00,R,6.5,-59.55,0.13,-9.55,0.06,16.85,1.8,4.33,3.93,6.7,5,W,Zonal
78,2017-02-28,78,2017-02-28 16:00:00,2017-02-28 20:00:00,R,0.7,-69.66,0.21,-10.8,0.05,16.74,2.9,4.2,3.43,1,5,W,Zonal
79,2017-03-01,79,2017-02-28 20:00:00,2017-03-01,R,1.7,-76.57,0.12,-11.74,0.06,17.35,2.6,3.05,2.9,1.8,5,W,Zonal
80,2017-03-01,80,2017-03-01,2017-03-01 04:00:00,R,1,-34.41,0.08,-6.74,0.05,19.51,2.8,4.18,3.6,2.6,5,W,Zonal
81,2017-03-01,81,2017-03-01 04:00:00,2017-03-01 08:00:00,R,0.9,-19.63,0.44,-4.45,0.06,15.97,4.18,4.73,4.45,1.5,5,W,Zonal
82,2017-03-01,82,2017-03-01 08:00:00,2017-03-01 12:00:00,R,0.8,-9.4,0.12,-3.12,0.05,15.56,4.73,6.63,5.3,1.1,5,W,Zonal
83,2017-03-01,83,2017-03-01 12:00:00,2017-03-01 16:00:00,R,3.6,-58.39,0.19,-8.25,0.04,7.61,5.2,7,6.43,3.6,5,W,Zonal
84,2017-03-01,84,2017-03-01 16:00:00,2017-03-01 20:00:00,R,3.9,-70.96,0.24,-10.06,0.07,9.52000000000001,5,6.2,5.5,5.5,5,W,Zonal
85,2017-03-01,85,2017-03-01 20:00:00,2017-03-02,R,1.7,-65.63,0.16,-8.95,0.03,5.97,6.2,8.68,8.28,2.6,5,W,Zonal
86,2017-03-04,86,2017-03-04 16:00:00,2017-03-04 20:00:00,R,2.4,-77.46,0.13,-10.75,0.05,8.54000000000001,6.88,7.6,7.3,2.4,5,S,Meridional
87,2017-03-04,87,2017-03-04 20:00:00,2017-03-05,R,1.4,-82.3,0.16,-11.51,0.04,9.78,5.03,7.3,5.8,1.5,5,S,Meridional
88,2017-03-05,88,2017-03-05,2017-03-05 04:00:00,R,0,-62.46,0.11,-7.44,0.02,-2.94,5.3,5.8,5.6,0.6,5,S,Meridional
89,2017-03-05,89,2017-03-05 04:00:00,2017-03-05 08:00:00,R,1.2,-57.07,0.13,-8.92,0.03,14.29,5.03,5.3,5.1,1.2,5,S,Meridional
90,2017-03-05,90,2017-03-05 12:00:00,2017-03-05 16:00:00,R,5,-99.58,0.17,-13.72,0.06,10.18,4.03,7.73,5.13,5,5,S,Meridional
91,2017-03-05,91,2017-03-05 16:00:00,2017-03-05 20:00:00,R,3.6,-89.88,0.2,-12.58,0.06,10.76,3.68,4.2,4.15,5.3,5,S,Meridional
92,2017-03-05,92,2017-03-05 20:00:00,2017-03-06,R,1.4,-58.6,0.15,-9.46,0.01,17.08,4,4.3,4.18,1.9,5,S,Meridional
93,2017-03-06,93,2017-03-06,2017-03-06 04:00:00,R,0.8,-37.4,0.18,-6.75,0.03,16.6,4,4.53,4.38,0.8,5,N,Meridional
94,2017-03-06,94,2017-03-06 04:00:00,2017-03-06 08:00:00,R,2.2,-19.2,0.14,-4.16,0.06,14.08,4.35,4.55,4.53,2.2,5,N,Meridional
