date,ID,Sampling start,Sampling end,Precipitation type,Rainfall [mm],dD,dD stdev,d18O,d18O stdev,d_excess,time,duration,gwt
46,2017-02-03,48,2017-02-03 08:00:00,2017-02-03 12:00:00,R,0.1,-48.8,0.24,-7.36,0.12,10.08,8,4,South
47,2017-02-03,49,2017-02-03 12:00:00,2017-02-03 16:00:00,R,0.1,-43.8,0.15,-6.45,0.05,7.8,12,4,South
48,2017-02-03,50,2017-02-03 20:00:00,2017-02-04,R,2.6,-78.7,0.17,-10.96,0.05,8.98,20,4,South
49,2017-02-03,46,2017-02-03,2017-02-03 04:00:00,R,0.4,-22.06,0.12,-3.53,0.06,6.18,0,4,South
50,2017-02-03,47,2017-02-03 04:00:00,2017-02-03 08:00:00,R,0.8,-36.7,0.25,-5.52,0.04,7.45999999999999,4,4,South
51,2017-02-04,54,2017-02-04 16:00:00,2017-02-04 20:00:00,R,0.8,-103.92,0.37,-14.24,0.05,10,16,4,South
52,2017-02-04,51,2017-02-04,2017-02-04 04:00:00,R,0.5,-94.74,0.21,-13.32,0.02,11.82,0,4,South
53,2017-02-04,52,2017-02-04 08:00:00,2017-02-04 12:00:00,R,4.8,-113.64,0.14,-15.82,0.02,12.92,8,4,South
54,2017-02-04,53,2017-02-04 12:00:00,2017-02-04 16:00:00,R,5.6,-112.44,0.09,-15.49,0.05,11.48,12,4,South
55,2017-02-04,55,2017-02-04 20:00:00,2017-02-05,R,1,-110.76,0.18,-15.35,0.03,12.04,20,4,South
56,2017-02-05,57,2017-02-05 12:00:00,2017-02-05 16:00:00,R,0.5,-88.61,0.22,-12.37,0.06,10.35,12,4,East
57,2017-02-05,56,2017-02-05 08:00:00,2017-02-05 12:00:00,R,0.6,-82.56,0.3,-11.61,0.06,10.32,8,4,East
58,2017-02-06,58,2017-02-06,2017-02-06 04:00:00,R,1.3,-113.1,0.21,-15.21,0.04,8.58000000000001,0,4,East
59,2017-02-11,61,2017-02-11 16:00:00,2017-02-11 20:00:00,R,0.4,-81.98,0.14,-12.05,0.02,14.42,16,4,East
60,2017-02-11,59,2017-02-11 08:00:00,2017-02-11 12:00:00,R,0.1,-96.42,0.28,-13.03,0.07,7.81999999999999,8,4,East
61,2017-02-11,60,2017-02-11 12:00:00,2017-02-11 16:00:00,R,1,-110.34,0.18,-15.16,0.04,10.94,12,4,East
62,2017-02-12,63,2017-02-12 04:00:00,2017-02-12 08:00:00,R,0.2,-73.38,0.28,-11.04,0.07,14.94,4,4,East
63,2017-02-12,62,2017-02-12,2017-02-12 04:00:00,R,0.1,-74.34,0.09,-10.99,0.06,13.58,0,4,East
64,2017-02-12,64,2017-02-12 08:00:00,2017-02-12 12:00:00,R,0.1,-67.54,0.21,-10.14,0.03,13.58,8,4,East
65,2017-02-16,67,2017-02-16 16:00:00,2017-02-16 20:00:00,R,0.4,-36.45,0.11,-5.88,0.04,10.59,16,4,West
66,2017-02-16,65,2017-02-16 08:00:00,2017-02-16 12:00:00,R,0.2,-55.74,0.15,-8.01,0.03,8.34,8,4,West
67,2017-02-16,66,2017-02-16 12:00:00,2017-02-16 16:00:00,R,2.5,-38.06,0.09,-6.05,0.04,10.34,12,4,West
68,2017-02-17,68,2017-02-17 12:00:00,2017-02-17 16:00:00,R,0.3,-32,0.12,-4.86,0.05,6.88,12,4,West
69,2017-02-17,69,2017-02-17 16:00:00,2017-02-17 20:00:00,R,3.2,-42.5,0.27,-6.98,0.06,13.34,16,4,West
70,2017-02-21,74,2017-02-21 08:00:00,2017-02-21 12:00:00,R,0.2,-22.57,0.12,-3.4,0.04,4.63,8,4,West
71,2017-02-21,75,2017-02-21 12:00:00,2017-02-21 16:00:00,R,0.2,-15.17,0.11,-1,0.04,-7.17,12,4,West
72,2017-02-21,77,2017-02-21 20:00:00,2017-02-22,R,0.6,-15.2,0.09,-2.39,0.07,3.92,20,4,West
73,2017-02-21,76,2017-02-21 16:00:00,2017-02-21 20:00:00,R,0.2,-12,0.04,-1.55,0.05,0.4,16,4,West
74,2017-02-22,78,2017-02-22,2017-02-22 04:00:00,R,1.7,-24.14,0.32,-3.93,0.02,7.3,0,4,West
75,2017-02-22,79,2017-02-22 04:00:00,2017-02-22 08:00:00,R,2.2,-22.64,0.17,-3.85,0.05,8.16,4,4,West
76,2017-02-22,80,2017-02-22 08:00:00,2017-02-25 16:00:00,R,1.1,-9.9,0.08,-2.27,0.07,8.26,8,80,West
77,2017-02-28,82,2017-02-28 16:00:00,2017-02-28 20:00:00,R,0.7,-69.66,0.21,-10.8,0.05,16.74,16,4,West
78,2017-02-28,83,2017-02-28 20:00:00,2017-03-01,R,1.7,-76.57,0.12,-11.74,0.06,17.35,20,4,West
79,2017-02-28,81,2017-02-28 12:00:00,2017-02-28 16:00:00,R,6.5,-59.55,0.13,-9.55,0.06,16.85,12,4,West
80,2017-03-01,84,2017-03-01,2017-03-01 04:00:00,R,1,-34.41,0.08,-6.74,0.05,19.51,0,4,West
81,2017-03-01,85,2017-03-01 04:00:00,2017-03-01 08:00:00,R,0.9,-19.63,0.44,-4.45,0.06,15.97,4,4,West
82,2017-03-01,86,2017-03-01 08:00:00,2017-03-01 12:00:00,R,0.8,-9.4,0.12,-3.12,0.05,15.56,8,4,West
83,2017-03-01,87,2017-03-01 12:00:00,2017-03-01 16:00:00,R,3.6,-58.39,0.19,-8.25,0.04,7.61,12,4,West
84,2017-03-01,88,2017-03-01 16:00:00,2017-03-01 20:00:00,R,3.9,-70.96,0.24,-10.06,0.07,9.52000000000001,16,4,West
85,2017-03-01,89,2017-03-01 20:00:00,2017-03-02,R,1.7,-65.63,0.16,-8.95,0.03,5.97,20,4,West
